Designator,Mid X,Mid Y,Rotation,Layer
D1,150.1775,-113.665,90.0,bottom
D10,321.6275,-113.665,90.0,bottom
D100,259.8425,-176.6375,0.0,top
D101,278.8425,-176.5125,0.0,top
D102,297.8425,-176.5125,0.0,top
D103,317.0925,-176.5125,0.0,top
D104,335.8425,-176.5125,0.0,top
D105,102.5925,-195.5125,0.0,top
D106,121.8425,-195.5125,0.0,top
D107,140.5925,-195.6375,0.0,top
D108,159.8425,-195.6375,0.0,top
D109,229.0925,-195.5125,0.0,top
D11,359.7275,-113.665,90.0,bottom
D110,297.5925,-195.5125,0.0,top
D111,317.0925,-195.5125,0.0,top
D112,336.0925,-195.5125,0.0,top
D12,121.6025,-132.715,90.0,bottom
D13,140.6525,-132.715,90.0,bottom
D14,159.7025,-132.715,90.0,bottom
D15,178.7525,-132.715,90.0,bottom
D16,197.8025,-132.715,90.0,bottom
D17,216.8525,-132.715,90.0,bottom
D18,235.9025,-132.715,90.0,bottom
D19,254.9525,-132.715,90.0,bottom
D2,169.2275,-113.665,90.0,bottom
D20,274.0025,-132.715,90.0,bottom
D21,293.0525,-132.715,90.0,bottom
D22,312.1025,-132.715,90.0,bottom
D23,335.915,-132.715,90.0,bottom
D24,359.7275,-132.715,90.0,bottom
D25,126.365,-151.765,90.0,bottom
D26,145.415,-151.765,90.0,bottom
D27,164.465,-151.765,90.0,bottom
D28,183.515,-151.765,90.0,bottom
D29,202.565,-151.765,90.0,bottom
D3,188.2775,-113.665,90.0,bottom
D30,221.615,-151.765,90.0,bottom
D31,240.665,-151.765,90.0,bottom
D32,259.715,-151.765,90.0,bottom
D33,278.765,-151.765,90.0,bottom
D34,297.815,-151.765,90.0,bottom
D35,316.865,-151.765,90.0,bottom
D36,359.7275,-151.765,90.0,bottom
D37,135.89,-170.815,90.0,bottom
D38,154.94,-170.815,90.0,bottom
D39,173.99,-170.815,90.0,bottom
D4,207.3275,-113.665,90.0,bottom
D40,193.04,-170.815,90.0,bottom
D41,212.09,-170.815,90.0,bottom
D42,231.14,-170.815,90.0,bottom
D43,250.19,-170.815,90.0,bottom
D44,269.24,-170.815,90.0,bottom
D45,288.29,-170.815,90.0,bottom
D46,307.34,-170.815,90.0,bottom
D47,326.39,-170.815,90.0,bottom
D48,335.9025,-162.2425,180.0,bottom
D49,112.0775,-189.865,90.0,bottom
D5,226.3775,-113.665,90.0,bottom
D50,131.1275,-189.865,90.0,bottom
D51,150.1775,-189.865,90.0,bottom
D52,169.2275,-189.865,90.0,bottom
D53,288.29,-189.865,90.0,bottom
D54,307.34,-189.865,90.0,bottom
D55,326.39,-189.865,90.0,bottom
D56,335.9025,-181.2925,180.0,bottom
D57,140.6525,-119.5125,0.0,top
